103102 - 0 for period 135 to 137
103102, 135, Brought Forward Balance,,,,279282
103102,135, Payment - GL,277,01/03/2011,,30000,Minaeli Tippe - Haydom safari all. pv1439,
103102,135, Receipt,267,02/03/2011,183700,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12334,
103102,135, Payment - GL,278,02/03/2011,,130000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1440,
103102,135, Receipt,268,04/03/2011,141450,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12335,
103102,135, Receipt,270,06/03/2011,84100,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12336,
103102,135, Receipt,272,06/03/2011,135950,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12337,
103102,135, Payment - GL,279,07/03/2011,,31000,Simon Lameck - Haydom safari bus fare &amp; all. Pv1441,
103102,135, Payment - GL,280,07/03/2011,,60000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1442,
103102,135, Payment - GL,281,09/03/2011,,44000,Onesmo Ibrahim - Mosquito spray, Pv1444,
103102,135, Payment - GL,284,09/03/2011,,8000,Onesmo Ibrahim - Mosquito spray, Pv1443,
103102,135, Receipt,402,09/03/2011,,44000,Onesmo Ibrahim - Mosquito spray, Pv1444 correction,
103102,135, Payment - GL,495,09/03/2011,88000,,Onesmo Ibrahim - Mosquito spray, Pv1444 Correction of double posting,
103102,135, Receipt,273,10/03/2011,261950,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12338,
103102,135, Payment - GL,283,10/03/2011,,44000,Onesmo Ibrahim - Diesel for car T. 732 AFS, Pv1444,
103102,135, Payment - GL,285,10/03/2011,,30000,Jehum trading Ltd - Foma soap, Pv1445,
103102,135, Payment - GL,286,10/03/2011,,10000,Fanuel Simjani - Haydom safari all. Pv1446,
103102,135, Payment - GL,287,11/03/2011,,10000,Fanuel Simjani - Haydom safari all. Pv1447,
103102,135, Receipt,275,12/03/2011,139100,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12339,
103102,135, Receipt,277,14/03/2011,264250,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12340,
103102,135, Payment - GL,288,14/03/2011,,4000,Fanuel S. &amp; Lindaeli Bayo - Tumaini KTS safari all. Pv1448,
103102,135, Receipt,279,16/03/2011,240200,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12341,
103102,135, Payment - GL,289,16/03/2011,,30000,Fanueli S. &amp; Minaeli - Haydom safari all. Pv1449,
103102,135, Receipt,280,18/03/2011,198050,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12342,
103102,135, Payment - GL,290,18/03/2011,,40100,Minaeli Tippe - Doctors visit day expenses, Pv1450,
103102,135, Receipt,282,20/03/2011,80150,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12343,
103102,135, Receipt,284,22/03/2011,407200,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12344,
103102,135, Payment - GL,291,23/03/2011,,4000,Fanuel &amp; Simon L - Tumaini KTS safari all. Pv1451,
103102,135, Payment - GL,292,23/03/2011,,76000,TANESCO - March 2011 Electricity bill, Pv1452,
103102,135, Payment - GL,293,23/03/2011,,60000,Katesh Agip service station - Diesel for car T 732 AFS, Pv1453,
103102,135, Receipt,285,24/03/2011,149800,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12345,
103102,135, Payment - GL,294,24/03/2011,,4000,Fanuel S. &amp; Lindaeli Bayo - Tumaini KTS safari all. Pv1454,
103102,135, Payment - GL,295,25/03/2011,,40000,Theresia Joram - Haydom safari all. Pv1455,
103102,135, Payment - GL,492,25/03/2011,9000,,Theresia Joram - Correction of amount overpaid, Pv1455,
103102,135, Payment - GL,493,25/03/2011,9000,,Theresia Joram - Correction of amount overpaid, Pv1455,
103102,135, Payment - GL,494,25/03/2011,,9000,Theresia Joram - Correction of amount overpaid, Pv1455 correction,
103102,135, Receipt,287,26/03/2011,43550,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12346,
103102,135, Receipt,289,28/03/2011,46100,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12347,
103102,135, Payment - GL,296,30/03/2011,,40000,Simon L. Fanuel Simjan - haydom safari all. Pv1456,
103102,135, Payment - GL,297,30/03/2011,,50000,Garetawe Vet Agll Services - Purchase of medicine, Pv1457,
103102,135, Receipt,291,31/03/2011,237300,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12348,
103102,135, Receipt,292,31/03/2011,5600,,Staff - Electricity income, rv12349,
103102,135, Receipt,295,31/03/2011,500000,,BLHC - March 2011 Salary support, rv12350,
103102,135, Payment - GL,298,31/03/2011,,162320,Sarah Elisante - March 2011 Wage, Pv1458,
103102,135, Payment - GL,299,31/03/2011,,135000,Ezekieli Marko - March  2011 Wage Pv1459,
103102,135, Payment - GL,300,31/03/2011,,70000,Joseph Matias - March 2011 wages pv1460,
103102,135, Payment - GL,301,31/03/2011,,288710,Maria Mwondeya - March 2011 Wage Pv1461,
103102,135, Payment - GL,302,31/03/2011,,1604620,BLHC - March 2011 salary, Pv1463,
103102, 135, Period Total,,,165700
103102,136, Receipt,202,02/04/2011,85350,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12451,
103102,136, Payment - GL,303,03/04/2011,,62400,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1464,
103102,136, Receipt,203,04/04/2011,192500,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12452,
103102,136, Payment - GL,304,05/04/2011,,18000,Minaeli, Simon &amp; Fanuel - Tumaini safari all. pv1465,
103102,136, Payment - GL,305,05/04/2011,,100000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1466,
103102,136, Receipt,204,06/04/2011,191240,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12453,
103102,136, Receipt,205,08/04/2011,198000,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12454,
103102,136, Receipt,207,10/04/2011,94800,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12455,
103102,136, Payment - GL,306,11/04/2011,,13000,Simon Lameck - Tumaini safari bus fare &amp; all. Pv1467,
103102,136, Receipt,208,12/04/2011,325600,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12456,
103102,136, Payment - GL,307,12/04/2011,,12000,Fanuel Simjan &amp; Simon Lameck - Tumaini safari all. Pv1468,
103102,136, Payment - GL,308,12/04/2011,,100000,Katesh Agip service station - Diesel for car T 732 AFS, Pv1469,
103102,136, Payment - GL,309,12/04/2011,,25000,Minaeli Tippe - Doctors visit day expenses, Pv1470,
103102,136, Receipt,210,14/04/2011,267200,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12457,
103102,136, Payment - GL,310,14/04/2011,,20000,Fanueli S. &amp; Minaeli - Haydom safari all. Pv1471,
103102,136, Payment - GL,311,14/04/2011,,6000,Battery charge &amp; service Katesh - Welding &amp; bonet service, Pv1472,
103102,136, Payment - GL,312,15/04/2011,,31000,Liliboa &amp; Gamasa - Kufyeka majani Pv1473,
103102,136, Receipt,211,16/04/2011,142700,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12458,
